id,work_title,movement,clef,keysig,timesig,pae_data,rism_id,rism_opac_link,tu_da_link
30628019,Symphonie in D-Dur GWV 515 (1750),1. Allegro molto,G-2,xFC,c,{('3AB''C)}/{8D('3DEF)}{8G(3B''CD)}{8E'(3EFG)}{8A(3''CDE)}/{8F3('FGA)}{8B3''(DEF)}{6GG},450002108,https://opac.rism.info/metaopac/search?View=rism&id=450002108,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-61/0002
30628021,Symphonie in D-Dur GWV 515 (1750),2. Andante,G-2,bB,3/4,''8{DxCD}/4.'A{8''FEF}/q8E4.D8{AxGA}/{DDDDDD}/,450002108,https://opac.rism.info/metaopac/search?View=rism&id=450002108,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-61/0002
30628023,Symphonie in D-Dur GWV 515 (1750),3. Allegro,G-2,xFC,3/8,{''6DC}/{8DDD}/{D'A}{''6FE}/{8FFF}/{FD}{6AG}/{8AAA}/,450002108,https://opac.rism.info/metaopac/search?View=rism&id=450002108,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-61/0002
30628026,Symphonie in D-Dur GWV 730 (1750),1. Allegro,G-2,xFC,6/8,{''3AGFG8A}-{'3AGFG8A}-/!{6DDDDDD}!f/{''3AGFG8A},450002109,https://opac.rism.info/metaopac/search?View=rism&id=450002109,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-62/0002
30628027,Symphonie in D-Dur GWV 730 (1750),2. Andante,G-2,xFC,3,{'8.B''6C}q8C{8.D6C}q8C'4B/{666.3''GGGE}{FFFD}{EEEC}/{6DCDE}q8E4F-/,450002109,https://opac.rism.info/metaopac/search?View=rism&id=450002109,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-62/0002
30628028,Symphonie in D-Dur GWV 730 (1750),3. Allegro,G-2,xFC,3/8,{''8DDD}/i/i/{(6D'AF)}{(DFA)}''8D/{AAA}/i/,450002109,https://opac.rism.info/metaopac/search?View=rism&id=450002109,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-62/0002
30628030,Symphonie in D-Dur GWV 516 (1750),1. Allegro,G-2,xFC,c,''4D3-{DEFGFGA}{8.6B'B''GE}/q8D4C3-{'AB''CDEFG}{8A'B}4-/{6EGFA},450002110,https://opac.rism.info/metaopac/search?View=rism&id=450002110,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-63/0002
30628032,Symphonie in D-Dur GWV 516 (1750),2. Andante poco allegro,G-2,xFC,6/8,{'8.B6''C8D}'4F8''F/{GFE}q6E{8DC}-/{'8.B6''C8D}{'6(EGB)}{''ED}8-/,450002110,https://opac.rism.info/metaopac/search?View=rism&id=450002110,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-63/0002
30628034,Symphonie in D-Dur GWV 516 (1750),3. Menuet,G-2,xFC,3,''2.D/4.E{6FG}{8FE}/4GFE/4.D{6EF}4E/,450002110,https://opac.rism.info/metaopac/search?View=rism&id=450002110,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-63/0002
30628036,Symphonie in D-Dur GWV 516 (1750),4. Molto allegro,G-2,xFC,2/4,{''8D'DD''D}/q6E{DC8D}q6E{DC8D}/{E'AA''A}/'A-4-/,450002110,https://opac.rism.info/metaopac/search?View=rism&id=450002110,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-63/0002
30628040,Symphonie in F-Dur GWV 568 (1750),1. Allegro e vivace,G-2,bB,c,{'8FCCA}4A''C/{'8AFF''C}4CA/!{8FCFC}!f/,450002111,https://opac.rism.info/metaopac/search?View=rism&id=450002111,
30628041,Symphonie in F-Dur GWV 568 (1750),2. Andante e poco allegro,G-2,,3,'4G''C8.-6D/q8C{'8.B''6C}q8C4D8.-6E/{8.F3GA}{8(GFE)}{(DC'B)}/,450002111,https://opac.rism.info/metaopac/search?View=rism&id=450002111,
30628042,Symphonie in F-Dur GWV 568 (1750),3. Molto allegro,G-2,bB,6/8,{''8FFF}{F6AG8F}/{'FFF}{F6AG8F}/{''FGA}qA4.B/{'8AB''C}{DC}-/,450002111,https://opac.rism.info/metaopac/search?View=rism&id=450002111,
30628046,Symphonie in F-Dur GWV 569 (1750),1. Allegro,G-2,bB,12/8,'8C/{FFF}{FFF}{F6FEFG}{A''C'AFCE}/{8FFF}{FFF}{F6FEFG},450002112,https://opac.rism.info/metaopac/search?View=rism&id=450002112,
30628048,Symphonie in F-Dur GWV 569 (1750),2. Andante e poco allegro,G-2,bB,c,'4FGt{8AD}866-{''xC'A}/{''DEF}{EA'A}{8B''D}-{'6AF}/,450002112,https://opac.rism.info/metaopac/search?View=rism&id=450002112,
30628050,Symphonie in F-Dur GWV 569 (1750),3. Allegro,G-2,bB,2/4,{'8FFFF}/{FF}{6F3AGFGAB}/{8''C'FFF}/{FF}{6F3AGFGAB}/,450002112,https://opac.rism.info/metaopac/search?View=rism&id=450002112,
30628052,Symphonie in F-Dur GWV 569 (1750),4. Menuet,G-2,bB,3,'2F{8.G3AB}/{8A''C'BGAF}/{GBAFGE}/2.''C/,450002112,https://opac.rism.info/metaopac/search?View=rism&id=450002112,
30628055,Symphonie in F-Dur GWV 570 (1750),1. Allegro,G-2,bB,c,'8C/{FC}-A{AF}-''C/{FFFF}{8.Ft3EF}{8.Ft3EF}/{8GGGG}{8.Gt3FG}{8.Gt3FG}/,450002113,https://opac.rism.info/metaopac/search?View=rism&id=450002113,
30628057,Symphonie in F-Dur GWV 570 (1750),2. Andante,G-2,bBE,3/4,'4FB''C/qE2D4C/E{68.D'B''C'A}/{8.B''3CD}{6C'8.A},450002113,https://opac.rism.info/metaopac/search?View=rism&id=450002113,
30628059,Symphonie in F-Dur GWV 570 (1750),3. Allegro,G-2,bB,2/4,''4FGt/{8ACDE}/{F'AB''C}/{DC}4-/{6'FFFF}{FFFF}/,450002113,https://opac.rism.info/metaopac/search?View=rism&id=450002113,
30628061,Symphonie in F-Dur GWV 570 (1750),4. Tempo di menuet,G-2,bB,3,''4FFF/FFF/F{6'FGAG}4F/i/,450002113,https://opac.rism.info/metaopac/search?View=rism&id=450002113,
30628065,Symphonie in D-Dur GWV 550 (1750),1. Allegro,G-2,xFC,c,!{'6DDDD}!fff/{FDDD}{AFFF}{''D'AAA}{FAAA}/,450002114,https://opac.rism.info/metaopac/search?View=rism&id=450002114,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-67/0002
30628066,Symphonie in D-Dur GWV 550 (1750),2. Andante,G-2,xFC,c,'4.B8''DqD4.C8E/qE4D{68.GE}{FDEC}/4D2F4D/,450002114,https://opac.rism.info/metaopac/search?View=rism&id=450002114,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-67/0002
30628067,Symphonie in D-Dur GWV 550 (1750),3. Allegro,G-2,xFC,3/8,{336'DEF}{EFG}{FGA}/8G{336FGA}{GAB}/{6A''DD'ABG}/{8AD}-/,450002114,https://opac.rism.info/metaopac/search?View=rism&id=450002114,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-67/0002
30628069,Symphonie in D-Dur GWV 550 (1750),4. Presto,G-2,xFC,2/4,8.6-{''EFD}/{ExG}4A/8.6-{CD'B}/4''C'F/8.6-{ABG}/,450002114,https://opac.rism.info/metaopac/search?View=rism&id=450002114,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-67/0002
